description_en	description_zh
Focus your protective gaze on a group or raid target, reducing their damage taken by $s1% and transfers $<threat>% of the threat they cause to you.  In addition, each time they are hit by an attack your Taunt cooldown is refreshed.  Lasts $d.  This effect can only be on one target at a time.	将保护性目光集中在一个小队或团队成员身上，使其受到的伤害降低$s1%，并将该目标产生威胁值的$<threat>%转移给你。此外，目标每次受到攻击时，你的嘲讽冷却时间都会被刷新。持续$d。此效果同一时间只能在一个目标身上激活。
Spreads existing Blood Plague and Frost Fever infections from your target to all other enemies within $a3 yards.	将目标身上的血红瘟疫和霜疫传播给$a3码范围内的所有其他敌人。
Opens a gate which the Death Knight can use to return to Ebon Hold.	开启一扇大门，死亡骑士可以使用它回到黑锋要塞。
Crush 5 herbs to create pigments for making inks.  This will destroy the herbs in the process.	研磨5份草药以提取颜料，用于制造墨水。研磨过程中会消耗这些草药。
Places a large, stationary Anti-Magic Zone that reduces spell damage done to party or raid members inside it by $50461s1%.  The Anti-Magic Zone lasts for $51052d or until it absorbs ${$51052m1+2*$AP} spell damage.	制造一个静止的大型反魔法领域，使其中的所有小队 and 团队成员受到的法术伤害降低$50461s1%。反魔法领域持续$51052d，或直到其吸收了${$51052m1+2*$AP}点法术伤害。
Your Crypt Fever morphs into Ebon Plague, which increases magic damage taken by 4% in addition to increasing disease damage taken.  Improves your critical strike chance with weapons and spells by $51099s2% at all times.	你的墓地热疫演变为黑色瘟疫，除了使受到的疾病伤害提高外，还会使受到的魔法伤害提高4%。始终使你的武器攻击和法术爆击几率提高$51099s2%。
Your melee attacks have a chance to make your next Icy Touch, Howling Blast or Frost Strike a critical strike.	你的近战攻击有一定几率使你的下一个冰冷触摸、凛冽寒风或冰打产生爆击。
Your melee attacks have a chance to make your next Icy Touch, Howling Blast or Frost Strike a critical strike.  Effect occurs more often than Killing Machine (Rank 1).	你的近战攻击有一定几率使你的下一个冰冷触摸、凛冽寒风或冰打产生爆击。触发频率高于杀戮机器（等级 1）。
Your melee attacks have a chance to make your next Icy Touch, Howling Blast or Frost Strike a critical strike.  Effect occurs more often than Killing Machine (Rank 2).	你的近战攻击有一定几率使你的下一个冰冷触摸、凛冽寒风或冰打产生爆击。触发频率高于杀戮机器（等级 2）。
Your melee attacks have a chance to make your next Icy Touch, Howling Blast or Frost Strike a critical strike.  Effect occurs more often than Killing Machine (Rank 3).	你的近战攻击有一定几率使你的下一个冰冷触摸、凛冽寒风或冰打产生爆击。触发频率高于杀戮机器（等级 3）。
Your melee attacks have a chance to make your next Icy Touch, Howling Blast or Frost Strike a critical strike.  Effect occurs more often than Killing Machine (Rank 4).	你的近战攻击有一定几率使你的下一个冰冷触摸、凛冽寒风或冰打产生爆击。触发频率高于杀戮机器（等级 4）。
Your Crypt Fever morphs into Ebon Plague, which increases magic damage taken by 9% in addition to increasing disease damage taken.  Improves your critical strike chance with weapons and spells by $51160s2% at all times.	你的墓地热疫演变为黑色瘟疫，除了使受到的疾病伤害提高外，还会使受到的魔法伤害提高9%。始终使你的武器攻击和法术爆击几率提高$51160s2%。
Your Crypt Fever morphs into Ebon Plague, which increases magic damage taken by 13% in addition to increasing disease damage taken.  Improves your critical strike chance with weapons and spells by $51161s2% at all times.	你的墓地热疫演变为黑色瘟疫，除了使受到的疾病伤害提高外，还会使受到的魔法伤害提高13%。始终使你的武器攻击和法术爆击几率提高$51161s2%。
Reinforces your armor with a thick coat of ice, increasing your armor by $s1% and increasing your Strength by $s2% for $d.	用厚厚的冰层加固你的护甲，使你的护甲值提高$s1%，力量提高$s2%，持续$d。
Allows a cook to make amazing recipes up to a maximum potential skill of 450.	允许厨师学习神奇的烹饪配方。使你的烹饪技能上限达到450点。
Allows a Blacksmith to make weapons and armor up to a maximum potential skill of 450.	允许锻造师制造武器和护甲。使你的锻造技能上限达到450点。
Allows a leatherworker to make master quality leather armors, up to a maximum potential skill of 450.	允许制皮师制造宗师级品质的皮甲。使你的制皮技能上限达到450点。
Allows an alchemist to brew extraordinary potions up to a maximum potential skill of 450.	允许炼金师调制卓越的药水。使你的炼金技能上限达到450点。
Allows a physician to make and use extraordinary bandages up to a maximum potential skill of 450.	允许急救医生制造并使用卓越的绷带。使你的急救技能上限达到450点。
Allows an Enchanter to enchant master quality items up to a maximum potential skill of 450.	允许附魔师附魔宗师级品质的物品。使你的附魔技能上限达到450点。
Allows an engineer to make master quality items up to a maximum potential skill of 450.	允许工程师制造宗师级品质的物品。使你的工程技能上限达到450点。
Allows a jeweler to make master quality jewels up to a maximum potential skill of 450.	允许珠宝匠制造宗师级品质的珠宝。使你的珠宝加工技能上限达到450点。
Allows a scribe to create master quality scrolls and inscriptions up to a maximum potential skill of 450.	允许铭文师制造宗师级品质的卷轴和铭文。使你的铭文技能上限达到450点。
Allows the miner to smelt titansteel bars.  Requires a forge.	允许采矿者熔炼泰坦精钢锭。需要熔炉。
Inflicts $51224s1 Frost damage to an enemy and freezes them in place for $d.  More effective than Icy Touch (Rank 5).	对敌人造成$51224s1点冰霜伤害，并将其冻结在原地，持续$d。比冰冷触摸（等级 5）更有效。
Each of your party members within $a1 yards can drink from the refreshment table to restore health and mana.  Table lasts for $d or 50 charges.	$a1码范围内的所有小队成员都可以从大餐桌处领取食物和饮料以恢复生命值和法力值。餐桌持续$d或被使用50次。
Summons a refreshment table.  Each of your party members within $a1 yards can drink from the refreshment table to restore health and mana.  Table lasts for $d or 50 charges.	召唤一张大餐桌。$a1码范围内的所有小队成员都可以从大餐桌处领取食物和饮料以恢复生命值和法力值。餐桌持续$d或被使用50次。
Surrounds the friendly target with $n $lball:balls; of water.  When a spell, melee or ranged attack hits the target, they will be healed for $49284s1.  This expends one water ball.  Only one ball will fire every few seconds.  Lasts $d.  Only one Elemental Shield can be active on the target at any one time.	为友方目标环绕$n个水球。当法术、近战或远程攻击击中目标时，目标将恢复$49284s1点生命值。这将消耗一个水球。每隔几秒钟只能触发一个水球。持续$d。同一时间只能在目标身上激活一种元素护盾。
Surrounds the friendly target with $n $lball:balls; of water.  When a spell, melee or ranged attack hits the target, they will be healed for $49285s1.  This expends one water ball.  Only one ball will fire every few seconds.  Lasts $d.  Only one Elemental Shield can be active on the target at any one time.	为友方目标环绕$n个水球。当法术、近战或远程攻击击中目标时，目标将恢复$49285s1点生命值。这将消耗一个水球。每隔几秒钟只能触发一个水球。持续$d。同一时间只能在目标身上激活一种元素护盾。
Surrounds the caster with $n $lball:balls; of water.  When a spell, melee or ranged attack hits the caster, they will be healed for $49284s1.  This expends one water ball.  Only one ball will fire every few seconds.  Lasts $d.  Only one Elemental Shield can be active on the Shaman at any one time.	施法者被$n个水球包围。当法术、近战或远程攻击击中施法者时，施法者将恢复$49284s1点生命值。这将消耗一个水球。每隔几秒钟只能触发一个水球。持续$d。萨满祭司在同一时间内只能激活一种元素护盾。
Surrounds the caster with $n $lball:balls; of water.  When a spell, melee or ranged attack hits the caster, they will be healed for $49285s1.  This expends one water ball.  Only one ball will fire every few seconds.  Lasts $d.  Only one Elemental Shield can be active on the Shaman at any one time.	施法者被$n个水球包围。当法术、近战或远程攻击击中施法者时，施法者将恢复$49285s1点生命值。这将消耗一个水球。每隔几秒钟只能触发一个闪电球。持续$d。萨满祭司在同一时间内只能激活一种元素护盾。
A powerful prayer that heals the friendly target's party members within $a1 yards for $48074s1.  In addition, heals the targets for another $s1 over $d.	强大的祷言，为友方目标周围$a1码范围内的所有小队成员恢复$48074s1点生命值。此外还会在$d内为目标额外恢复$s1点生命值。
A powerful prayer that heals the friendly target's party members within $a1 yards for $s1.  In addition, heals the targets for another $48120s1 over $48120d.	强大的祷言，为友方目标周围$a1码范围内的所有小队成员恢复$s1点生命值。此外还会在$48120d内为目标额外恢复$48120s1点生命值。
Allows an engineer to make bombs and gizmos that very often work as intended up to a maximum potential skill of 450.	允许工程师制造大部分情况下都能按预期工作的炸弹和各种小玩意。使你的工程学技能上限达到450点。
Allows a tailor to make incomparable shirts and armors up to a maximum potential skill of 450.	允许裁缝制造无与伦比的衬衫和护甲。使你的裁缝技能上限达到450点。
Allows a jewelcrafter to make fantastic jewelry, up to a maximum potential skill of 450.	允许珠宝匠制造精美绝伦的珠宝。使你的珠宝加工技能上限达到450点。
Allows an enchanter to put masterful enchantments on weapons and armor up to a maximum potential skill of 450.	允许附魔师为武器和护甲施加宗师级附魔。使你的附魔技能上限达到450点。
Increases the critical strike damage bonus of your Lava Burst spell by an additional $51480s2%, and when your Flame Shock is dispelled your spell casting speed is increased by $51480s1% for $64694d.	使你的熔岩爆裂法术的爆击伤害加成额外提高$51480s2%。此外，当你的烈焰震击被驱散时，你的施法速度提高$51480s1%，持续$64694d。
Increases the critical strike damage bonus of your Lava Burst spell by an additional $51481s2%, and when your Flame Shock is dispelled your spell casting speed is increased by $51481s1% for $64694d.	使你的熔岩爆裂法术的爆击伤害加成额外提高$51481s2%。此外，当你的烈焰震击被驱散时，你的施法速度提高$51481s1%，持续$64694d。
Increases the critical strike damage bonus of your Lava Burst spell by an additional $51482s2%, and when your Flame Shock is dispelled your spell casting speed is increased by $51482s1% for $64694d.	使你的熔岩爆裂法术的爆击伤害加成额外提高$51482s2%。此外，当你的烈焰震击被驱散时，你的施法速度提高$51482s1%，持续$64694d。
Reduces the cooldown of your Chain Lightning spell by .75 sec, your Earthbind Totem also has a $s2% chance to root targets for $64695d when cast and the periodic damage done by your Flame Shock is increased by $s3%.	使你的连锁闪电的冷却时间缩短0.75秒，并使你的地缚图腾在施放时有$s2%的几率使目标被缠绕$64695d，烈焰震击造成的周期性伤害提高$s3%。
Reduces the cooldown of your Chain Lightning spell by 1.5 sec, your Earthbind Totem also has a $s2% chance to root targets for $64695d when cast and the periodic damage done by your Flame Shock is increased by $s3%.	使你的连锁闪电的冷却时间缩短1.5秒，并使你的地缚图腾在施放时有$s2%的几率使目标被缠绕$64695d，烈焰震击造成的周期性伤害提高$s3%。
Reduces the cooldown of your Chain Lightning spell by 2.5 sec, your Earthbind Totem also has a $s2% chance to root targets for $64695d when cast and the periodic damage done by your Flame Shock is increased by $s3%.	使你的连锁闪电的冷却时间缩短2.5秒，并使你的地缚图腾在施放时有$s2%的几率使目标被缠绕$64695d，烈焰震击造成的周期性伤害提高$s3%。
Transforms the enemy into a frog. While hexed, the target cannot attack or cast spells. Damage caused may interrupt the effect. Lasts $d. Only one target can be hexed at a time.  Only works on Humanoids and Beasts.	将敌人变成青蛙。在被妖术期间，目标无法攻击或施法。受到伤害可能会中断此效果。持续$d。同一时间只能对一个目标施放妖术。只对人型生物和野兽有效。
When you deal damage with a melee weapon, you have a chance to reduce the cast time of your next Lightning Bolt, Chain Lightning, Lesser Healing Wave, Healing Wave, Chain Heal, or Hex spell by $53817s1%. Stacks up to 5 times. Lasts $53817d.	当你使用近战武器造成伤害时，有一定几率使你下一个闪电箭、连锁闪电、次级治疗波、治疗波、治疗链或妖术的施法时间缩短$53817s1%。最多可叠加5次。持续$53817d。
When you deal damage with a melee weapon, you have a chance (higher than rank 1) to reduce the cast time of your next Lightning Bolt, Chain Lightning, Lesser Healing Wave, Healing Wave, Chain Heal, or Hex spell by $53817s1%. Stacks up to 5 times. Lasts $53817d.	当你使用近战武器造成伤害时，有一定几率（触发几率高于等级 1）使你下一个闪电箭、连锁闪电、次级治疗波、治疗波、治疗链或妖术的施法时间缩短$53817s1%。最多可叠加5次。持续$53817d。
When you deal damage with a melee weapon, you have a chance (higher than rank 2) to reduce the cast time of your next Lightning Bolt, Chain Lightning, Lesser Healing Wave, Healing Wave, Chain Heal, or Hex spell by $53817s1%. Stacks up to 5 times. Lasts $53817d.	当你使用近战武器造成伤害时，有一定几率（触发几率高于等级 2）使你下一个闪电箭、连锁闪电、次级治疗波、治疗波、治疗链或妖术的施法时间缩短$53817s1%。最多可叠加5次。持续$53817d。
When you deal damage with a melee weapon, you have a chance (higher than rank 3) to reduce the cast time of your next Lightning Bolt, Chain Lightning, Lesser Healing Wave, Healing Wave, Chain Heal, or Hex spell by $53817s1%. Stacks up to 5 times. Lasts $53817d.	当你使用近战武器造成伤害时，有一定几率（触发几率高于等级 3）使你下一个闪电箭、连锁闪电、次级治疗波、治疗波、治疗链或妖术的施法时间缩短$53817s1%。最多可叠加5次。持续$53817d。
When you deal damage with a melee weapon, you have a chance (higher than rank 4) to reduce the cast time of your next Lightning Bolt, Chain Lightning, Lesser Healing Wave, Healing Wave, Chain Heal, or Hex spell by $53817s1%. Stacks up to 5 times. Lasts $53817d.	当你使用近战武器造成伤害时，有一定几率（触发几率高于等级 4）使你下一个闪电箭、连锁闪电、次级治疗波、治疗波、治疗链或妖术的施法时间缩短$53817s1%。最多可叠加5次。持续$53817d。
Summons two Spirit Wolves under the command of the Shaman, lasting $d.	召唤两只幽灵狼听从萨满祭司的指挥，持续$d。
Whenever anyone in your party or raid blocks, dodges, or parries an attack your chance to critically hit with all combo moves is increased by $52914s1% for $52914d.	每当你的小队或团队中的任何人格挡、躲闪或招架一次攻击，你的所有连击招式的爆击几率提高$52914s1%，持续$52914d。
Whenever anyone in your party or raid blocks, dodges, or parries an attack your chance to critically hit with all combo moves is increased by $52915s1% for $52915d.	每当你的小队或团队中的任何人格挡、躲闪或招架一次攻击，你的所有连击招式的爆击几率提高$52915s1%，持续$52915d。
Whenever anyone in your party or raid blocks, dodges, or parries an attack your chance to critically hit with all combo moves is increased by $52910s1% for $52910d.	每当你的小队 or 团队中的任何人格挡、躲闪或招架一次攻击，你的所有连击招式的爆击几率提高$52910s1%，持续$52910d。
Your melee critical strikes have a chance to give you energy.	你的近战爆击有一定几率为你提供能量。
Enrages you, increasing all damage caused by $63848s1%.  Requires a bleed effect to be active on the target.  Lasts $63848d.	使你进入激怒状态，造成的伤害提高$63848s1%。要求目标身上存在流血效果。持续$63848d。
Whenever you dodge an attack you gain an Unfair Advantage, striking back for $51675s2% of your main hand weapon's damage.  This cannot occur more than once per second.	每当你躲闪一次攻击，你就会获得不公平优势效果，立即反击并造成相当于主手武器伤害$51675s2%的伤害。此效果每秒钟只能触发一次。
Whenever you dodge an attack you gain an Unfair Advantage, striking back for $51677s2% of your main hand weapon's damage.  This cannot occur more than once per second.	每当你躲闪一次攻击，你就会获得不公平优势效果，立即反击并造成相当于主手武器伤害$51677s2%的伤害。此效果每秒钟只能触发一次。
Whenever you dodge an attack you gain an Unfair Advantage, striking back for $51675s2% of your main hand weapon's damage.	每当你躲闪一次攻击，你就会获得不公平优势效果，立即反击并造成相当于主手武器伤害$51675s2%的伤害。
Whenever you dodge an attack you gain an Unfair Advantage, striking back for $51677s2% of your main hand weapon's damage.	每当你躲闪一次攻击，你就会获得不公平优势效果，立即反击并造成相当于主手武器伤害$51677s2%的伤害。
Increases the range of Throw and Deadly Throw and gives your Deadly Throw a chance to interrupt the target for $51680d.	使投掷和致命投掷的射程提高，并使你的致命投掷有一定几率中断目标的施法，持续$51680d。
Increases your total attack power by $s2% and all physical damage caused to enemies you have poisoned is increased by $58684s1%.	使你的总攻击强度提高$s2%，且你对中毒敌人造成的物理伤害提高$58684s1%。
Step through the shadows from enemy to enemy within 10 yards, attacking an enemy every .5 secs with both weapons until 5 assaults are made, and increasing all damage done by $61851s3% for the duration.  Can hit the same target multiple times.  Cannot hit invisible or stealthed targets.	在10码范围内的敌人之间穿梭，每0.5秒使用双持武器进行一次攻击，直到完成5次攻击。在持续时间内，你造成的伤害提高$61851s3%。可以多次击中同一个目标。无法击中隐形或潜行状态的目标。
Your Ambush and Backstab hits have a chance to unbalance a target, increasing the time between their melee and ranged attacks by $51693s1%, and reducing movement speed by $51693s2% for $51693d.	你的伏击和背刺攻击有一定几率使目标失去平衡，使其近战和远程攻击间隔提高$51693s1%，且移动速度降低$51693s2%，持续$51693d。
Your Ambush and Backstab hits have a chance to unbalance a target, increasing the time between their melee and ranged attacks by $51696s1%, and reducing movement speed by $51696s2% for $51696d.	你的伏击和背刺攻击有一定几率使目标失去平衡，使其近战和远程攻击间隔提高$51696s1%，且移动速度降低$51696s2%，持续$51696d。
Instantly strikes the enemy with both weapons, dealing $s1% weapon damage plus $s2 with each weapon.  Damage is increased by 20% against poisoned targets.  Awards 2 combo points.	立即使用双持武器打击敌人，每把武器造成$s1%的武器伤害外加$s2点额外伤害。对中毒目标的伤害提高20%。产生2点连击点数。
Your Finishing moves have a $h% chance per combo point to restore 25 energy.	你的终结技每个连击点有$h%的几率恢复25点能量。
Increases your critical strike chance by $s1%, and each time you deal a critical strike with a melee attack you have a $h% chance to gain 2 runic power.	使你的爆击几率提高$s1%。此外，你的近战攻击每次产生爆击都有$h%的几率为你提供2点符文能量。
Your Frost Fever also has a $h% chance to reduce the target's Runic Power by $61261s1 or Mana by $61261s2.	你的霜疫还有$h%的几率使目标的符文能量降低$61261s1点，或使其法力值降低$61261s2点。
Your Frost Fever also has a $h% chance to reduce the target's Runic Power by $61264s1 or Mana by $61264s2.	你的霜疫还有$h%的几率使目标的符文能量降低$61264s1点，或使其法力值降低$61264s2点。
Decreases the cooldown of your Empower Rune Weapon by $/1000;s1 sec and gives you a $h% chance to generate 10 Runic Power when you use your Ghoul's Leap or Gnaw abilities.	使你的增效符文武器的冷却时间缩短$/1000;s1秒，并使你在使用食尸鬼的跳跃或啃食技能时有$h%的几率产生10点符文能量。
Increases the healing of your Death Strike by $s1%.	使你的死亡打击的治疗效果提高$s1%。
When you deal damage with Death Coil, you have a $h% chance to be healed for $61271s1.	当你使用缠绕攻击造成伤害时，有$h%的几率恢复$61271s1点生命值。
When you deal damage with Death Coil, you have a $h% chance to be healed for $61272s1.	当你使用缠绕攻击造成伤害时，有$h%的几率恢复$61272s1点生命值。
Reduces the cooldown of your Icebound Fortitude by $/1000;s1 sec.	使你的冰封之韧的冷却时间缩短$/1000;s1秒。
Each time you take damage from a spell, you have a $h% chance to reduce the cooldown of your Icebound Fortitude by $/1000;s1 sec.	每当你受到法术伤害，都有$h%的几率使你的冰封之韧的冷却时间缩短$/1000;s1秒。
Increases the damage of your Rune Strike by $s1%.	使你的符文打击造成的伤害提高$s1%。
Enter the Shadow Dance for $d, allowing the use of Sap, Garrote, Ambush, Cheap Shot, Premeditation, Pickpocket and Disarm Trap regardless of being stealthed.	进入影舞状态，持续$d。在此状态下，无论是否处于潜行状态，你都可以使用闷棍、绞喉、伏击、偷袭、预谋、搜索和解除陷阱。
Disarm the enemy, removing all weapons, shield or other equipment carried for $d.	解除敌人的武装，移除其携带的所有武器、盾牌或其他装备，持续$d。
Instantly throw both weapons at all targets within $a1 yards, causing ${$m1*1.5}% weapon damage with daggers, and $s1% weapon damage with all other weapons.	立即向$a1码范围内的所有目标投掷双持武器，使用匕首时造成${$m1*1.5}%的武器伤害，使用其他武器时造成$s1%的武器伤害。
Incapacitates the target for up to $d.  Must be stealthed.  Only works on Humanoids, Beasts, Demons and Dragonkin that are not in combat.  Any damage caused will revive the target.  Only 1 target may be sapped at a time.	使目标瘫痪，持续最多$d。必须处于潜行状态。只对非战斗状态下的人型生物、野兽、恶魔和龙类有效。任何伤害都会使目标苏醒。同一时间只能对一个目标施放闷棍。
Imbue the Shaman's weapon with earthen life. Increases healing done by $51940s2 and each heal has a $<chance>% chance to proc Earthliving on the target, healing an additional $51945o over $51945d. Lasts 30 minutes.	为萨满祭司的武器注入生命之力。使治疗效果提高$51940s2，且每次治疗都有$<chance>%的几率触发大地生命效果，在$51945d内额外恢复$51945o点生命值。持续30分钟。
Increases the damage done by your Lightning Shield orbs by $s1%, increases the amount of mana gained from your Water Shield orbs by $s2% and increases the amount of healing done by your Earth Shield orbs by $s2%.	使你的闪电之盾球体造成的伤害提高$s1%，使你的水之护盾球体恢复的法力值提高$s2%，并使你的大地之盾球体提供的治疗量提高$s2%。
Cleanse the spirit of a friendly target, removing 1 poison effect, 1 disease effect, and 1 curse effect.	净化友方目标的灵魂，移除1个中毒效果、1个疾病效果和1个诅咒效果。
Imbue the Shaman's weapon with earthen life. Increases healing done by $51989s2 and each heal has a $<chance>% chance to proc Earthliving on the target, healing an additional $51990o over $51990d. Lasts 30 minutes.	为萨满祭司的武器注入生命之力。使治疗效果提高$51989s2，且每次治疗都有$<chance>%的几率触发大地生命效果，在$51990d内额外恢复$51990o点生命值。持续30分钟。
Imbue the Shaman's weapon with earthen life. Increases healing done by $52004s2 and each heal has a $<chance>% chance to proc Earthliving on the target, healing an additional $51997o over $51997d. Lasts 30 minutes.	为萨满祭司的武器注入生命之力。使治疗效果提高$52004s2，且每次治疗都有$<chance>%的几率触发大地生命效果，在$51997d内额外恢复$51997o点生命值。持续30分钟。
Imbue the Shaman's weapon with earthen life. Increases healing done by $52005s2 and each heal has a $<chance>% chance to proc Earthliving on the target, healing an additional $51998o over $51998d. Lasts 30 minutes.	为萨满祭司的武器注入生命之力。使治疗效果提高$52005s2，且每次治疗都有$<chance>%的几率触发大地生命效果，在$51998d内额外恢复$51998o点生命值。持续30分钟。
Imbue the Shaman's weapon with earthen life. Increases healing done by $52007s2 and each heal has a $<chance>% chance to proc Earthliving on the target, healing an additional $51999o over $51999d. Lasts 30 minutes.	为萨满祭司的武器注入生命之力。使治疗效果提高$52007s2，且每次治疗都有$<chance>%的几率触发大地生命效果，在$51999d内额外恢复$51999o点生命值。持续30分钟。
Imbue the Shaman's weapon with earthen life. Increases healing done by $52008s2 and each heal has a $<chance>% chance to proc Earthliving on the target, healing an additional $52000o over $52000d. Lasts 30 minutes.	为萨满祭司的武器注入生命之力。使治疗效果提高$52008s2，且每次治疗都有$<chance>%的几率触发大地生命效果，在$52000d内额外恢复$52000o点生命值。持续30分钟。
The caster is surrounded by $52127n globes of water, granting $52127s2 mana per 5 sec.  When a spell, melee or ranged attack hits the caster, $52128s1 mana is restored to the caster. This expends one water globe.  Only one globe will activate every few seconds.  Lasts $52127d.  Only one Elemental Shield can be active on the Shaman at any one time.	施法者被$52127n个水流之球环绕，每5秒恢复$52127s2点法力值。当法术、近战或远程攻击击中施法者时，将恢复$52128s1点法力值。这将消耗一个水球。每隔几秒钟只能触发一个水球。持续$52127d。萨满祭司在同一时间内只能激活一种元素护盾。
The caster is surrounded by $52129n globes of water, granting $52129s2 mana per 5 sec.  When a spell, melee or ranged attack hits the caster, $52130s1 mana is restored to the caster. This expends one water globe.  Only one globe will activate every few seconds.  Lasts $52129d.  Only one Elemental Shield can be active on the Shaman at any one time.	施法者被$52129n个水流之球环绕，每5秒恢复$52129s2点法力值。当法术、近战或远程攻击击中施法者时，将恢复$52130s1点法力值。这将消耗一个水球。每隔几秒钟只能触发一个水球。持续$52129d。萨满祭司在同一时间内只能激活一种元素护盾。
The caster is surrounded by $52131n globes of water, granting $52131s2 mana per 5 sec.  When a spell, melee or ranged attack hits the caster, $52132s1 mana is restored to the caster. This expends one water globe.  Only one globe will activate every few seconds.  Lasts $52131d.  Only one Elemental Shield can be active on the Shaman at any one time.	施法者被$52131n个水流之球环绕，每5秒恢复$52131s2点法力值。当法术、近战或远程攻击击中施法者时，将恢复$52132s1点法力值。这将消耗一个水球。每隔几秒钟只能触发一个水球。持续$52131d。萨满祭司在同一时间内只能激活一种元素护盾。
The caster is surrounded by $52134n globes of water, granting $52134s2 mana per 5 sec.  When a spell, melee or ranged attack hits the caster, $52133s1 mana is restored to the caster. This expends one water globe.  Only one globe will activate every few seconds.  Lasts $52134d.  Only one Elemental Shield can be active on the Shaman at any one time.	施法者被$52134n个水流之球环绕，每5秒恢复$52134s2点法力值。当法术、近战或远程攻击击中施法者时，将恢复$52133s1点法力值。这将消耗一个水球。每隔几秒钟只能触发一个水球。持续$52134d。萨满祭司在同一时间内只能激活一种元素护盾。
The caster is surrounded by $52136n globes of water, granting $52136s2 mana per 5 sec.  When a spell, melee or ranged attack hits the caster, $52135s1 mana is restored to the caster. This expends one water globe.  Only one globe will activate every few seconds.  Lasts $52136d.  Only one Elemental Shield can be active on the Shaman at any one time.	施法者被$52136n个水流之球环绕，每5秒恢复$52136s2点法力值。当法术、近战或远程攻击击中施法者时，将恢复$52135s1点法力值。这将消耗一个水球。每隔几秒钟只能触发一个水球。持续$52136d。萨满祭司在同一时间内只能激活一种元素护盾。
The caster is surrounded by $52138n globes of water, granting $52138s2 mana per 5 sec.  When a spell, melee or ranged attack hits the caster, $52137s1 mana is restored to the caster. This expends one water globe.  Only one globe will activate every few seconds.  Lasts $52138d.  Only one Elemental Shield can be active on the Shaman at any one time.	施法者被$52138n个水流之球环绕，每5秒恢复$52138s2点法力值。当法术、近战或远程攻击击中施法者时，将恢复$52137s1点法力值。这将消耗一个水球。每隔几秒钟只能触发一个水球。持续$52138d。萨满祭司在同一时间内只能激活一种元素护盾。
Reduces the cooldown on Raise Dead by ${$m1/-1000} sec, and the Ghoul summoned by your Raise Dead spell is considered a pet under your control.  Unlike normal Death Knight Ghouls, your pet does not have a limited duration.	使亡者大军的冷却时间缩短${$m1/-1000}秒，且通过亡者大军技能召唤的食尸鬼被视为受你控制的宠物。与普通的死亡骑士食尸鬼不同，你的宠物没有持续时间限制。
Allows the deciphering of strange and mysterious writings.	允许解码陌生而神秘的文字。
Deals $m1 to $M1 Frost damage modified by attack power and reduces the target's ranged, melee attack, and casting speed by $s2% for $d.	造成$m1到$M1点受攻击强度加成的冰霜伤害，并使目标的远程、近战攻击速度和施法速度降低$s2%，持续$d。
A vicious strike that deals weapon damage plus $s1 modified by attack power and plagues the target, dealing $o2 Shadow damage over $d.	一次邪恶的打击，造成武器伤害外加$s1点受攻击强度加成的额外伤害，并使目标感染瘟疫，在$d内造成$o2点暗影伤害。
Instantly strike the enemy, causing $s2% weapon damage plus ${$m1*$m2/100} for each disease effect on the target.	立即打击敌人，造成$s2%的武器伤害，目标身上每存在一个疾病效果，伤害额外提高${$m1*$m2/100}点。
Fire a blast of unholy energy, causing ${$m1*.4} Shadow damage modified by attack power to an enemy target or healing ${$m1*.6} damage from a friendly Undead target.	发射一束邪恶能量，对敌方目标造成${$m1*.4}点受攻击强度加成的暗影伤害，或为友方亡灵目标恢复${$m1*.6}点生命值。
Increases the effect of your Strength of Earth and Flametongue Totems by $s1%.	使你的大地之力图腾和火舌图腾的效果提高$s1%。
Finishing move that increases physical damage done by $s2%.  Only useable while in Cat Form.  Lasts longer per combo point:\n   1 point  : 14 seconds\n   2 points: 19 seconds\n   3 points: 24 seconds\n   4 points: 29 seconds\n   5 points: 34 seconds	终结技，使造成的物理伤害提高$s2%。只能在豹形态下使用。每个连击点持续时间更长：\n   1连击点：14秒\n   2连击点：19秒\n   3连击点：24秒\n   4连击点：29秒\n   5连击点：34秒
Right Click to summon and dismiss Frosty the frost wyrm whelp.	右键点击召唤或解散冰霜巨龙宝宝“霜霜”。
Use the Milling skill found in your spellbook to crush herbs into pigments.  You can use pigments to create inks.	使用法术书中的研磨技能将草药研磨成颜料。你可以使用颜料来制造墨水。
Causes an explosion of shadow magic around the enemy target, causing $s1 Shadow damage every 1 sec for $53023d to all enemies within $a1 yards around the target.	在敌方目标周围制造一次暗影魔法爆炸，对目标周围$a1码范围内的所有敌人每1秒造成$s1点暗影伤害，持续$53023d。
Causes an explosion of shadow magic around the enemy target, causing $53022s1 Shadow damage every $T1 sec for $d to all enemies within $49821a1 yards around the target.	在敌方目标周围制造一次暗影魔法爆炸，对目标周围$49821a1码范围内的所有敌人每$T1秒造成$53022s1点暗影伤害，持续$d。
Allows an alchemist to research more advanced Northrend potions and elixirs.	允许炼金师研究更高级的诺森德药水和合剂。
